report_date,surprise_pct,volatility_change
2010-01-20,0,0
2010-04-14,1,1
2010-07-14,1,0
2010-10-13,1,0
2011-01-19,1,0
2011-04-13,1,1
2011-07-13,1,0
2011-10-12,1,0
2012-01-18,1,1
2012-04-18,1,1
2012-07-18,1,0
2012-10-17,0,1
2013-01-17,0,1
2013-04-17,1,1
2013-07-17,1,0
2013-10-16,0,0
2014-01-22,1,0
2014-04-16,1,1
2014-07-16,1,1
2014-10-15,0,0
2015-01-21,1,0
2015-04-15,1,1
2015-07-15,1,0
2015-10-14,1,1
2016-01-20,1,0
2016-04-20,1,1
2016-07-20,1,0
2016-10-19,0,0
2017-01-18,1,0
2017-04-19,1,1
2017-07-19,1,1
2017-10-18,1,1
2018-01-17,1,0
2018-04-18,1,0
2018-07-18,1,0
2018-10-17,1,1
2019-01-23,1,0
2019-04-17,1,0
2019-07-17,1,1
2019-10-16,1,0
2020-01-22,0,1
2020-04-15,0,0
2020-07-15,0,1
2020-10-14,1,0
2021-01-20,1,0
2021-04-21,1,1
2021-07-21,1,0
2021-10-20,1,0
2022-01-19,1,1
2022-04-20,1,1
2022-07-20,1,0
2022-10-19,1,0
2023-01-25,1,1
2023-04-19,1,0
2023-07-19,1,1
2023-10-18,1,0
2024-01-24,1,0
2024-04-17,1,1
2024-07-17,1,1
2024-10-16,1,0
