report_date,surprise_pct,volatility_change
2010-02-03,1,0
2010-05-12,1,0
2010-08-11,1,0
2010-11-10,1,1
2011-02-09,1,0
2011-05-11,1,0
2011-08-10,1,0
2011-11-09,1,0
2012-02-08,1,1
2012-05-09,1,0
2012-08-15,1,0
2012-11-13,1,0
2013-02-13,1,1
2013-05-15,1,1
2013-08-14,1,0
2013-11-13,1,0
2014-02-12,1,0
2014-05-14,1,1
2014-08-13,1,0
2014-11-12,1,0
2015-02-11,1,0
2015-05-13,1,1
2015-08-12,1,1
2015-11-12,1,1
2016-02-10,1,0
2016-05-18,1,0
2016-08-17,1,0
2016-11-16,1,0
2017-02-15,1,0
2017-05-17,1,0
2017-08-16,1,1
2017-11-15,1,1
2018-02-14,1,0
2018-05-16,1,0
2018-08-15,1,1
2018-11-14,1,0
2019-02-13,1,0
2019-05-15,1,0
2019-08-14,1,0
2019-11-13,1,0
2020-02-12,1,1
2020-05-13,1,0
2020-08-12,1,0
2020-11-12,1,1
2021-02-09,1,0
2021-05-19,1,0
2021-08-18,1,1
2021-11-17,1,1
2022-02-16,1,1
2022-05-18,1,0
2022-08-17,1,0
2022-11-16,1,0
2023-02-15,1,0
2023-05-17,1,1
2023-08-16,1,0
2023-11-15,1,0
2024-02-14,1,1
2024-05-15,1,1
2024-08-14,1,0
2024-11-13,1,0
