report_date,surprise_pct,volatility_change
2010-01-14,1,1
2010-04-13,1,1
2010-07-13,1,0
2010-10-12,1,0
2011-01-13,1,1
2011-04-19,1,1
2011-07-20,1,0
2011-10-18,1,1
2012-01-19,1,0
2012-04-17,1,0
2012-07-17,1,0
2012-10-16,1,1
2013-01-17,1,0
2013-04-16,0,0
2013-07-17,0,0
2013-10-15,1,0
2014-01-16,0,0
2014-04-15,1,0
2014-07-15,1,1
2014-10-14,1,0
2015-01-15,1,1
2015-04-14,1,1
2015-07-15,1,0
2015-10-13,1,0
2016-01-14,1,0
2016-04-19,1,1
2016-07-20,1,0
2016-10-18,1,0
2017-01-26,1,1
2017-04-27,1,1
2017-07-27,1,1
2017-10-26,1,1
2018-01-25,1,1
2018-04-26,1,1
2018-07-26,1,1
2018-10-25,1,1
2019-01-24,1,1
2019-04-25,1,1
2019-07-25,1,1
2019-10-24,1,0
2020-01-23,1,1
2020-04-23,1,0
2020-07-23,1,1
2020-10-22,1,1
2021-01-21,1,0
2021-04-22,1,0
2021-07-22,1,1
2021-10-21,1,0
2022-01-26,1,1
2022-04-28,1,1
2022-07-28,0,0
2022-10-27,1,1
2023-01-26,0,1
2023-04-27,1,1
2023-07-27,1,0
2023-10-26,1,0
2024-01-25,1,0
2024-04-25,1,0
2024-08-01,0,1
2024-10-31,1,1
