report_date,surprise_pct,volatility_change
2010-03-31,1,1
2010-06-28,1,0
2010-10-07,0,0
2010-12-22,0,0
2011-03-23,1,0
2011-06-23,0,1
2011-09-29,0,1
2011-12-21,0,0
2012-03-22,0,0
2012-06-20,0,1
2012-09-27,0,0
2012-12-20,0,1
2013-03-21,0,1
2013-06-19,1,0
2013-10-10,0,0
2014-01-07,1,1
2014-04-03,1,1
2014-06-23,1,1
2014-09-25,1,0
2015-01-06,1,1
2015-04-01,1,0
2015-06-25,0,1
2015-10-01,1,0
2015-12-22,1,0
2016-03-30,1,1
2016-06-30,1,0
2016-10-04,1,0
2016-12-21,1,1
2017-03-23,1,0
2017-06-29,1,0
2017-09-26,1,1
2017-12-19,1,1
2018-03-22,1,1
2018-06-20,1,1
2018-09-20,1,0
2018-12-18,1,1
2019-03-20,1,1
2019-06-25,1,0
2019-09-26,1,1
2019-12-18,1,0
2020-03-25,1,0
2020-06-29,1,1
2020-09-29,1,1
2021-01-07,1,1
2021-03-31,1,0
2021-06-30,1,0
2021-09-28,1,0
2021-12-20,1,1
2022-03-29,1,0
2022-06-30,1,0
2022-09-29,1,1
2022-12-21,0,1
2023-03-28,1,1
2023-06-28,1,1
2023-09-27,1,1
2023-12-20,1,0
2024-03-20,1,1
2024-06-26,1,0
2024-09-25,1,0
2024-12-18,1,0
