report_date,surprise_pct,volatility_change
2010-02-17,1,0
2010-05-13,1,0
2010-08-12,0,0
2010-11-11,1,1
2011-02-16,1,1
2011-05-12,1,0
2011-08-11,0,0
2011-11-10,1,0
2012-02-15,1,0
2012-05-11,1,1
2012-08-09,1,1
2012-11-08,1,0
2013-02-13,1,1
2013-05-09,1,1
2013-08-08,1,1
2013-11-07,1,1
2014-02-12,1,1
2014-05-08,1,1
2014-08-07,1,0
2014-11-06,1,0
2015-02-11,1,0
2015-05-07,0,0
2015-08-06,1,1
2015-11-05,1,0
2016-02-17,1,0
2016-05-12,1,0
2016-08-11,1,1
2016-11-10,1,1
2017-02-09,1,1
2017-05-09,1,1
2017-08-10,1,1
2017-11-09,1,0
2018-02-08,1,0
2018-05-10,1,0
2018-08-16,1,1
2018-11-15,0,1
2019-02-14,1,0
2019-05-16,1,0
2019-08-15,1,1
2019-11-14,1,1
2020-02-13,1,1
2020-05-21,1,0
2020-08-19,1,0
2020-11-18,1,0
2021-02-24,1,1
2021-05-26,1,0
2021-08-18,1,1
2021-11-17,1,0
2022-02-16,1,0
2022-05-25,1,0
2022-08-24,0,1
2022-11-16,0,0
2023-02-22,1,0
2023-05-24,1,1
2023-08-23,1,0
2023-11-21,1,1
2024-02-21,1,0
2024-05-22,1,1
2024-08-28,1,1
2024-11-20,1,0
